mpid,asr_breaking,eps_electronic,eps_total,last phdos peak
mp-14115,4.907297296688797,7.422733209905911,23.88390005783216,571.5857336699889
mp-9107,14.01487271684068,11.41222579889336,54.30874512487626,313.352607426604
mp-15704,4.024523626917062,4.578805685454676,8.517863578960304,982.5857010358521
mp-12491,1.3781146334075636,6.654832869311103,12.255528410647935,159.58576638352753
mp-5061,4.269714663428997,4.446897292015593,20.013209567428678,798.5857156457819
mp-5431,6.65778133859364,4.181824774749103,17.91860079730075,708.8707572993354
mp-5962,48.537808469752974,7.752560370781967,17.059496224264805,315.5857539968479
mp-23289,8.668757167551187,2.6848300958602014,8.277260942906416,139.58576797156337
mp-1022,2.2474645220632175,3.162487901453954,6.162422592880103,184.58576439848272
mp-27419,4.434599213171944,2.4375971803186895,6.262106555811513,564.5857342258015
mp-569548,0.7816782661404434,19.708090981839884,26.631308536588836,236.5857602695895
mp-5348,30.470621725344465,2.8090104957499076,6.904514560195587,1528.585657682473
mp-7375,10.642150101018103,5.543581132311526,45.936432087856026,856.608845977842
mp-989537,1.2332396768942637,2.706486009635969,,473.6489604881305
mp-9384,0.8086176148645432,6.1586982320129655,9.112689061005597,341.58575193240125
mp-961646,1.370845593281709,21.338780700426465,32.15718783171837,282.58575661710705
mp-6972,6.542067021299804,5.081161523094325,11.125889157765599,652.5857272384436
mp-13900,3.8740155701513896,6.360611974403145,14.991800115137076,592.5857320025513
mp-8311,1.1006384449136275,18.796236237176632,21.678804884290262,494.5857397839269
mp-638729,0.5375479066154879,3.062876847277806,7.092935422708862,333.58575256761566
mp-697096,30.959100821668034,3.6468183576064086,7.045139746076596,2066.5856149643087
mp-23231,1.8769465970106394,6.559638709573789,13.621385715799923,127.58576892438492
mp-7908,0.8756964716054951,8.756577580927228,11.014123971889816,332.5857526470174
mp-4627,2.8982925991104276,23.568297790555416,31.02295483900474,400.5857472476955
mp-10044,3.3142996076505,10.032167864916383,10.128936155960778,701.5857233477558
mp-2659,8.593639218672832,2.9283399331039868,9.440018158581806,2131.585609803192
mp-3731,5.728063808074307,5.429371749993758,38.81742973062506,850.5857115168886
mp-13541,18.66181762150817,3.2398984867325447,10.849486380151433,1326.5856737216354
mp-8192,1.6192030890797389,2.4429167808124395,6.59391831717713,588.5857323201583
mp-8891,7.118426921886798,3.2531204935530567,9.727216370562315,1376.5856697515458
mp-776532,1.4661067674572383,4.658737511911447,29.273443191729438,759.5857187424518
mp-6026,30.603140621291804,2.5305060234044903,7.364915852225976,1549.5856560150357
mp-9845,3.66044754906308,5.963040644942386,12.859624115947994,224.58576122241104
mp-10547,3.611451219721216,4.0056121075338105,7.111494739967675,545.5857357344355
mp-9900,2.5218152028662906,9.13608010542996,11.972692865501648,404.58574693008836
mp-5020,6.44599318921228,5.92838517059819,52.85403708429766,735.538617696687
mp-616378,0.5658752151139528,10.144568452794294,,124.27513147078773
mp-1960,3.555353957539265,2.9309275092511413,7.409773394954446,660.5857266032293
mp-755478,1.0698858635184691,7.664375036287289,21.98088538497463,541.5857360520425
mp-696804,2.779102090186283,2.9142475020248466,7.21986471844257,2564.458303244592
mp-641923,0.7434830052523091,3.666864327203257,6.975104165773797,218.5857616988218
mp-571093,1.0100787191976712,15.35626143189406,20.125822040703166,1241.5856804707878
mp-505297,3.3874930525750298,22.60047163887548,37.072460545624935,249.58575923736618
mp-561586,0.45215907622778095,4.969024730372348,13.221640851154362,247.5857593961698
mp-9812,4.760211449431553,3.4982339596307543,10.270237010513588,1496.5856602233305
mp-5132,2.9837593642406235,3.3263310099415513,8.99893020526543,1132.5856891255833
mp-22898,3.133044320703465,2.956013624487621,5.473585605407091,99.58577114763511
mp-862871,3.6080121100120532,4.2557571281893,,226.1551962649628
mp-4236,7.109532276210515,4.255299152547398,13.935998554042854,619.5857298587028
mp-4666,0.886707255818365,11.138078527223954,13.422151264425148,476.58574121315917
mp-989608,13.30553862258915,3.393288108057774,10.36010815635044,276.58575709351777
mp-5427,25.107936461531544,2.777621912127193,8.691440821883438,1178.4664455102513
mp-697038,1.429947212771492,4.6357539387775235,11.43419290382891,1733.5856414051057
mp-5077,24.98895260599087,9.488206406787814,17.02837587173072,342.58575185299946
mp-569677,2.0642765038270463,5.72789030846279,15.845430762503137,375.58574923274034
mp-9687,1.1590817207198005,7.2053057626912675,13.042931962345484,317.58575383804435
mp-6088,3.746063989694371,7.63614594790603,20.920325973549765,503.58573906931076
mp-754117,15.406275117620954,3.693937256838957,13.217570363361906,2657.5855680378495
mp-28650,0.9776566222507709,3.8251859998072355,,294.76812675480426
mp-13445,4.340925718149485,8.341014765693641,12.99771074594033,276.58575709351777
mp-560790,8.929654539165297,2.5196016752905983,11.228200660177984,442.58574391282013
mp-6270,2.0222960986264757,4.734768496919197,24.930623625487556,791.5857162015946
mp-555763,1.4947220203635934,6.270872434603208,9.188288524389469,334.58575248821387
mp-1009819,10.963754474736799,4.5252160201196805,70.71283710372882,439.5724945905821
mp-20098,1.5369460103653196,5.177407194923034,34.980041630635434,635.285556532021
